TIC,Tmag
22233480.0,11.2695
27649847.0,12.4029
98796344.0,8.84294
126606859.0,12.9374
142748283.0,13.4764
198385543.0,11.8467
198485881.0,12.9672
203214081.0,11.5219
212957629.0,14.3109
219860288.0,12.4251
232650365.0,11.9589
235683377.0,12.4934
239332587.0,8.72762
243185500.0,10.8858
243313296.0,12.4199
258796169.0,12.8872
259168516.0,13.3081
323687123.0,12.4289
336128819.0,11.7371
336961891.0,11.9847
345450130.0,11.8693
356016119.0,12.2669
405763009.0,12.0349
420112589.0,12.295
434226736.0,13.0275
467179528.0,11.0402
468983280.0,11.6923
